Grupos de Pesquisa IFNMG,,,
GRUPO,LÍDER,2º LÍDER,"ÁREA
PREDOMINANTE"
Automação de Processos com Arduino,Flávio Santos Medeiros da Fonseca,-,Ciências Exatas e da Terra
Desenvolvimento Sustentável,Reginaldo Proque,Juliana Maria Nogueira Pereira,Ciências Agrárias
Desenvolvimento Sustentável,Alessandro de Paula Silva,-,Ciências Agrárias
"Educação, ciência e tecnologia aplicadas a desenvolvimento sustentável e preservação.",Joaquim Pinto Gomes,Edinei Canuto Paiva,Ciências Exatas e da Terra
Educação Profissional e Tecnológica,Antônio Carlos Soares Martins,-,Ciências Humanas
Estudo das Plantas medicinais e Hortaliças Não Convencionais - Norte de Minas Gerais,Claubert Wagner Guimarães de Menezes,-,Ciências Agrárias
GEOPRO,César Vinícius Mendes Nery,-,Ciências Exatas e da Terra
GEPEDD - Grupo de Estudo e Pesquisa Educação Docência e Diversidade,Joelma de Fátima Mendes Bandeira,Suzana Alves Escobar,Ciências Humanas
Gestão e Manejo Integrado dos Recursos Hídricos no Semiárido Mineiro,José Alberto Alves de Souza,-,Ciências Agrárias
GPEEME - Grupo de Pesquisa e Extensão no Ensino da Matemática e Estatística,Marco Aurélio Meira Fonseca,Daniel Martins Nunes,Ciências Exatas e da Terra
Grupo de Estudos e Pesquisa em Proteção Florestal,Romildo Lopes de Oliveira,-,Ciências Agrárias
Grupo de Estudos e Pesquisa em Tecnologias Móveis,Hélder Seixas Lima,-,Ciências Exatas e da Terra
Grupo de Estudos e Pesquisas Interdisciplinares em Administração,Nesmária Sany Costa Alves,Juliana Silva Ramires,Ciências Sociais Aplicadas
Grupo de Estudos e Pesquisas Marxismo e Modernidade,Fabiano Rosa de Magalhães,-,Ciências Humanas
Grupo de Estudos e Pesquisas sobre Juventudes,Bergston Luan Santos,Fabiano Rosa de Magalhães,Ciências Humanas
Grupo de Estudos em Administração e Empreendedorismo - GEADE,André Geraldo da Costa Coelho,-,Ciências Sociais Aplicadas
Grupo de Pesquisa em Ensino de Ciências e Matemática,Vailton Afonso da Silva,-,Ciências Exatas e da Terra
Grupo de Pesquisa em Recursos Hídricos e Ambientais do Norte de Minas Gerais,Marcelo Rossi Vicente,Ronaldo Medeiros dos Santos,Ciências Agrárias
Inteligência Computacional Aplicada,Alison Zille Lopes,-,Ciências Exatas e da Terra
LARDIQUI,Farley Jean de Sousa,-,Ciências Exatas e da Terra
Manejo fitossanitário de plantas e aspectos produtivos de culturas com o uso de pó de rochas,Tatiana Tozzi Martins Souza Rodrigues,-,Ciências Agrárias
Microbiota endofítica de plantas nativas do cerrado/mata seca,Tatiana Tozzi Martins Souza Rodrigues,-,Ciências Agrárias
NEA Jequi,Vico Mendes Pereira Lima,-,Ciências Agrárias
Núcleo de Estudos e Pesquisas em Agroecologia Minas d'Água,Renildo Ismael Félix da Costa,-,Ciências Agrárias
Núcleo de Estudos e Pesquisas Rurais,Rogério Alves de Amorim,Fabiano Rosa de Magalhães,Ciências Humanas
Núcleo de Estudos Em Agroecologia - NEA Minas d'água - Extrativismo,Tatiana Tozzi Martins Souza Rodrigues,-,Ciências Agrárias
Núcleo de Pesquisa e Extensão em Administração Pública e Gestão Social,Hélder Seixas Lima,André Aristóteles da Rocha Muniz,Ciências Sociais Aplicadas
Pesquisa em Ensino de Artes no IFNMG,Mariana Emiliano Simões,-,"Lingüística, Letras e Artes"
"Práticas da Administração Eupsíquica, Bases do Comportamento Organizacional e Medidas",Gustavo Henrique Silva de Souza,-,Ciências Sociais Aplicadas
Produção de Animais Ruminantes,Antônio Eustaquio Filho,Rogério Mendes Murta,Ciências Agrárias
Produção e Tecnologia Sustentável na região Semiárida de Minas Gerais,Tiago Reis Dutra,Marília Dutra Massad,Ciências Agrárias
Rede de Inovação Tecnológica de Sistemas Agropecuários no Vale do Rio Urucuia,Juliana Maria Nogueira Pereira,Gabriel Müller Valadão,Ciências Agrárias
Saúde Educação Trabalho e Gestão - SETEG,Wagner Luiz Mineiro Coutinho,Danilo Lima Carreiro,Ciências da Saúde
Silvicultura na Região Norte de Minas Gerais,Marília Dutra Massad,Tiago Reis Dutra,Ciências Agrárias
Tecnologia em Produção de Cachaça,Fabrício Silveira Santos,Oscar William Barbosa Fernandes,Ciências Agrárias
